Total, Raycast, Update_cache, Inflation, PointCloudNumber, CacheNumber, InflationNumber
0.137033, 0.0175999, 0.00877533, 0.000178989, 2683, 42339, 7182
0.0608998, 0.00445835, 0.0117501, 9.4485e-05, 2833, 41011, 3780
0.0852827, 0.0225127, 0.0627682, 0.00334282, 2747, 84113, 26757
1.06269, 0.00584576, 0.0228119, 0.0017946, 2748, 46911, 77193
0.132316, 0.00505397, 0.0185833, 0.00103478, 2721, 43096, 37260
0.0363925, 0.00466588, 0.0317249, 0.000585404, 2750, 45330, 28107
0.0182626, 0.00774471, 0.0105152, 0.000427109, 2727, 45563, 21951
0.0154914, 0.00650779, 0.00898011, 0.000463957, 2718, 45545, 20871
0.0183752, 0.004393, 0.01398, 0.000280523, 2762, 45971, 14256
0.0165715, 0.00871518, 0.00785401, 0.00080047, 2701, 46570, 14283
0.00839047, 0.00524178, 0.00314705, 0.000313005, 2742, 45901, 8046
0.00725679, 0.00390356, 0.00335107, 0.000221762, 2660, 44265, 10125
0.00846933, 0.0042779, 0.00418954, 0.0002393, 2702, 42580, 7209
0.0133086, 0.0058628, 0.00744368, 0.000214443, 2763, 46825, 8181
0.0349185, 0.0050843, 0.0032021, 0.000199564, 2796, 42368, 6804
0.0083225, 0.00527072, 0.00304973, 0.000197841, 2719, 41000, 7263
0.00837916, 0.00524453, 0.00313279, 0.00023077, 2797, 42667, 7668
0.00823332, 0.00526749, 0.00296329, 0.000178115, 2755, 44042, 7425
0.0108388, 0.0050026, 0.0058334, 0.000235313, 2761, 44778, 6912
0.00817458, 0.00504156, 0.00313084, 0.000253417, 2763, 45580, 6642
0.0127483, 0.00807602, 0.00467021, 0.000180316, 2724, 45321, 5751
0.00771597, 0.00490304, 0.00281053, 0.000141217, 2802, 45768, 5751
0.0144156, 0.0109652, 0.00344394, 0.000138449, 2716, 45659, 4914
0.00714958, 0.00411748, 0.00302973, 0.000224238, 2743, 45812, 5535
0.0202351, 0.0050627, 0.0151699, 0.00125489, 2728, 45231, 5643
0.00621262, 0.00412301, 0.00208734, 0.000126293, 2762, 42717, 4914
0.00859717, 0.00420844, 0.00438667, 0.000221425, 2706, 45674, 5967
0.00718134, 0.00510993, 0.00206946, 0.000136209, 2745, 44677, 5832
0.010815, 0.00789443, 0.00291915, 0.000596478, 2702, 43200, 5859
0.00695074, 0.00406094, 0.00288698, 0.00014505, 2711, 39649, 5157
0.00801768, 0.00457364, 0.00344225, 0.000179181, 2710, 42821, 6399
0.00841449, 0.00598881, 0.00242377, 0.000127531, 2785, 43099, 4536
0.00609787, 0.0038446, 0.00225135, 9.5543e-05, 2738, 45347, 4050
0.00713368, 0.00380921, 0.00332195, 0.000103426, 2753, 44656, 4158
0.00740444, 0.00425537, 0.00314735, 0.000144141, 2695, 45192, 5400
0.00684759, 0.00402364, 0.00282205, 0.000147598, 2777, 44907, 5778
0.016164, 0.00575455, 0.0104071, 0.00178484, 2733, 44422, 4374
0.0087822, 0.00426266, 0.00451728, 0.000243432, 2604, 40755, 6507
0.00720312, 0.00451787, 0.00268245, 0.000114811, 2761, 45718, 4536
0.00710219, 0.0040937, 0.00300646, 0.000168391, 2678, 44127, 5967
0.00681027, 0.0040976, 0.00271025, 0.000133184, 2727, 44228, 4995
0.00629317, 0.00405058, 0.00224015, 0.00011098, 2730, 44847, 4698
0.0101542, 0.00620904, 0.00394374, 0.00015427, 2760, 46968, 6021
0.0110926, 0.00638011, 0.00471012, 0.000165846, 2764, 45419, 5373
0.00801365, 0.00509241, 0.00291888, 0.000124443, 2779, 45036, 4320
